127.0.0.1 - - [26/Jan/2022:10:23:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:21 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:10:23:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:10:23:22 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - tomcat [26/Jan/2022:10:24:18 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FUser%2FAppData%2FLocal%2FTemp%2Fcontext1650998366721939424.xml&path=/facturadoras-fielcorresponsal HTTP/1.1" 200 98
127.0.0.1 - tomcat [26/Jan/2022:10:24:18 -0300] "GET /manager/text/start?path=/facturadoras-fielcorresponsal HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:24:18 -0300] "GET /facturadoras-fielcorresponsal HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:10:24:18 -0300] "GET /facturadoras-fielcorresponsal/ HTTP/1.1" 404 1000
